cat,fam,sig,k,s,v
1,CROSS-RSDP,1-b,65813,2839720,1894811
1,CROSS-RSDP,1-f,76258,1604543,976266
1,CROSS-RSDP,1-s,75832,5561744,3874760
1,CROSS-RSDPG,1-b,39847,1780291,1183087
1,CROSS-RSDPG,1-f,38471,909121,574411
1,CROSS-RSDPG,1-s,39984,3512989,2355370
1,Falcon,512,24412465,884109,164741
1,MAYO,1,251865,615782,290023
1,SNOVA,24-5-4-esk,381415,1307793,315844
1,SNOVA,24-5-4-s-esk,504601,1306056,455440
1,SNOVA,24-5-4-s,502343,1725472,460413
1,SNOVA,24-5-4,386865,1607134,319308
1,SNOVA,25-8-3,420780,1158518,280066
1,SNOVA,37-17-2,1120126,1378613,274934
1,SPHINCS,128f-s,2308396,54037200,3769422
1,SPHINCS,128s-s,146742152,1113912400,1402782
1,UOV,Ip-pkc-skc,2860392,1955195,264277
1,UOV,Ip-pkc,2827499,102361,265402
1,UOV,Ip,2916492,101307,64227
1,UOV,Is-pkc-skc,4617991,2708899,347007
1,UOV,Is-pkc,4776969,126708,346326
1,UOV,Is,4648650,123209,52007
2,MAYO,2,170204,340923,107435
2,ML-DSA,44,98528,258994,91273
