cat,fam,sig,k,s,v
2,ML-DSA,44,98528,258994,91273
3,ML-DSA,65,166980,411050,154271
5,ML-DSA,87,266439,513346,247945
1,Falcon,512,24412465,884109,164741
5,Falcon,1024,75274341,1742951,313249
1,SPHINCS,128s-s,146742152,1113912400,1402782
3,SPHINCS,192f-s,3374348,87231426,5310957
3,SPHINCS,192s-s,214177472,1924311508,1981797
5,SPHINCS,256f-s,8849386,177655340,5490014
5,SPHINCS,256s-s,141379805,1679553642,2784285
1,MAYO,1,251865,615782,290023
2,MAYO,2,170204,340923,107435
3,MAYO,3,583696,1417363,665493
5,MAYO,5,1402332,3353297,1528848
1,CROSS-RSDP,1-b,65813,2839720,1894811
1,CROSS-RSDP,1-f,76258,1604543,976266
1,CROSS-RSDP,1-s,75832,5561744,3874760
3,CROSS-RSDP,3-b,159452,5963966,4022669
3,CROSS-RSDP,3-f,158534,3593837,2228244
3,CROSS-RSDP,3-s,162830,8988549,6064820
5,CROSS-RSDP,5-b,208762,10284233,7099682
5,CROSS-RSDP,5-f,245536,6409997,4079121
5,CROSS-RSDP,5-s,230571,16826133,10777881
1,CROSS-RSDPG,1-b,39847,1780291,1183087
1,CROSS-RSDPG,1-f,38471,909121,574411
1,CROSS-RSDPG,1-s,39984,3512989,2355370
3,CROSS-RSDPG,3-b,69484,2747378,1764589
3,CROSS-RSDPG,3-f,70681,2078827,1317922
3,CROSS-RSDPG,3-s,69723,5155945,3570922
5,CROSS-RSDPG,5-b,127161,4552635,2929599
5,CROSS-RSDPG,5-f,125247,3425134,2289278
5,CROSS-RSDPG,5-s,114281,8190329,5327983
1,UOV,Is,4648650,123209,52007
1,UOV,Ip,2916492,101307,64227
3,UOV,III,16786341,293177,234106
5,UOV,V,44224784,560948,436302
1,UOV,Is-pkc,4776969,126708,346326
1,UOV,Ip-pkc,2827499,102361,265402
3,UOV,III-pkc,16617967,292085,1115500
5,UOV,V-pkc,42017164,554525,2501137
1,UOV,Is-pkc-skc,4617991,2708899,347007
1,UOV,Ip-pkc-skc,2860392,1955195,264277
3,UOV,III-pkc-skc,16836844,9699720,1116471
5,UOV,V-pkc-skc,41222989,21404195,2441463
1,SNOVA,24-5-4,386865,1607134,319308
1,SNOVA,24-5-4-s,502343,1725472,460413
1,SNOVA,24-5-4-esk,381415,1307793,315844
1,SNOVA,24-5-4-s-esk,504601,1306056,455440
1,SNOVA,37-17-2,1120126,1378613,274934
1,SNOVA,25-8-3,420780,1158518,280066
3,SNOVA,56-25-2,4911795,4840603,840635
3,SNOVA,49-11-3,2277836,4310550,1096244
3,SNOVA,37-8-4,1652432,4751275,994170
3,SNOVA,24-5-5,702550,3825313,995285
5,SNOVA,60-10-4,6212919,13096925,2678130
5,SNOVA,29-6-5,1249653,5840343,1622762
1,SPHINCS,128f-s,2308396,54037200,3769422
