cat,sig,0ms,2ms,20ms,120ms
0,ED-25519,7370,582,38,0
0,ED-448,5924,566,37,0
0,RSA,6547,572,37,0
2,ML-DSA-44,6145,572,37,0
3,ML-DSA-65,4869,402,25,0
5,ML-DSA-87,4366,396,25,0
1,Falcon-512,1387,442,36,0
5,Falcon-1024,931,374,36,0
1,SPHINCS-128-f-s,212,158,19,0
1,SPHINCS-128-s-s,13,13,10,0
3,SPHINCS-192-f-s,148,107,15,0
3,SPHINCS-192-s-s,8,8,6,0
5,SPHINCS-256-f-s,75,59,16,0
5,SPHINCS-256-s-s,8,9,7,0
1,MAYO-1,2428,498,37,0
2,MAYO-2,3258,527,37,0
3,MAYO-3,2039,488,37,0
5,MAYO-5,1255,352,25,0
1,CROSS-RSDP-1-b,2088,352,24,0
1,CROSS-RSDP-1-f,2511,297,20,0
1,CROSS-RSDP-1-s,1360,327,24,0
3,CROSS-RSDP-3-b,1323,259,18,0
3,CROSS-RSDP-3-f,1251,237,16,0
3,CROSS-RSDP-3-s,1064,248,19,0
5,CROSS-RSDP-5-b,976,202,15,0
5,CROSS-RSDP-5-s,675,188,16,0
1,CROSS-RSDPG-1-b,1769,356,25,0
1,CROSS-RSDPG-1-f,2781,364,25,0
1,CROSS-RSDPG-1-s,1235,338,25,0
3,CROSS-RSDPG-3-b,1990,272,18,0
3,CROSS-RSDPG-3-f,2066,276,19,0
3,CROSS-RSDPG-3-s,1381,287,19,0
5,CROSS-RSDPG-5-b,1407,233,15,0
5,CROSS-RSDPG-5-f,1584,235,16,0
5,CROSS-RSDPG-5-s,1018,229,16,0
1,OV-Is,1028,107,10,0
1,OV-Ip,1271,117,10,0
3,OV-III,477,68,7,0
5,OV-V,192,58,7,0
1,OV-Is-pkc,2202,230,15,0
1,OV-Ip-pkc,2771,282,18,0
3,OV-III-pkc,1213,142,11,0
5,OV-V-pkc,761,89,9,0
1,OV-Is-pkc-skc,1189,230,15,0
1,OV-Ip-pkc-skc,1025,241,20,0
3,OV-III-pkc-skc,241,117,11,0
5,OV-V-pkc-skc,127,67,9,0
1,SNOVA-24-5-4,1836,469,37,0
1,SNOVA-24-5-4-s,1589,465,37,0
1,SNOVA-24-5-4-esk,1744,476,37,0
1,SNOVA-24-5-4-s-esk,1680,469,37,0
1,SNOVA-37-17-2,1754,364,25,0
1,SNOVA-25-8-3,1955,474,37,0
3,SNOVA-56-25-2,1507,268,18,0
3,SNOVA-49-11-3,1297,371,25,0
3,SNOVA-37-8-4,1199,428,37,0
3,SNOVA-24-5-5,768,363,36,0
5,SNOVA-60-10-4,370,249,24,0
5,SNOVA-29-6-5,487,289,35,0
