cat,sig,0ms,2ms,20ms,120ms
0,ED-25519,8751,1136,134,22
0,ED-448,6707,1110,135,23
0,RSA,7479,1122,132,23
2,ML-DSA-44,6634,1077,133,23
3,ML-DSA-65,5007,1038,129,21
5,ML-DSA-87,4280,929,131,22
1,Falcon-512,1982,794,128,23
5,Falcon-1024,1794,766,126,23
1,SPHINCS-128-f-s,491,356,106,22
1,SPHINCS-128-s-s,39,35,28,14
3,SPHINCS-192-f-s,387,295,64,11
3,SPHINCS-192-s-s,22,22,20,11
5,SPHINCS-256-f-s,189,161,50,9
5,SPHINCS-256-s-s,24,24,20,12
1,MAYO-1,1950,781,127,22
2,MAYO-2,2396,860,127,22
3,MAYO-3,2188,822,127,23
5,MAYO-5,1897,764,128,23
1,CROSS-RSDP-1-b,1793,756,127,21
1,CROSS-RSDP-1-f,1938,777,125,21
1,CROSS-RSDP-1-s,1409,680,124,21
3,CROSS-RSDP-3-b,1367,671,88,14
3,CROSS-RSDP-3-f,1270,465,64,12
3,CROSS-RSDP-3-s,1163,614,86,15
5,CROSS-RSDP-5-b,1049,405,52,9
5,CROSS-RSDP-5-s,794,360,52,9
1,CROSS-RSDPG-1-b,1617,719,123,21
1,CROSS-RSDPG-1-f,2186,816,127,22
1,CROSS-RSDPG-1-s,1342,658,125,21
3,CROSS-RSDPG-3-b,1760,694,89,15
3,CROSS-RSDPG-3-f,1875,703,88,15
3,CROSS-RSDPG-3-s,1429,678,124,23
5,CROSS-RSDPG-5-b,1483,537,66,11
5,CROSS-RSDPG-5-f,1558,440,54,9
5,CROSS-RSDPG-5-s,1157,497,65,11
1,OV-Is,653,86,10,2
1,OV-Ip,845,122,15,3
3,OV-III,268,29,4,1
5,OV-V,121,14,2,1
1,OV-Is-pkc,1276,393,53,9
1,OV-Ip-pkc,1735,471,64,11
3,OV-III-pkc,844,167,21,4
5,OV-V-pkc,467,76,9,2
1,OV-Is-pkc-skc,1228,387,51,9
1,OV-Ip-pkc-skc,1744,474,63,11
3,OV-III-pkc-skc,674,174,22,4
5,OV-V-pkc-skc,507,76,10,2
1,SNOVA-24-5-4,1851,760,121,22
1,SNOVA-24-5-4-s,1810,763,126,23
1,SNOVA-24-5-4-esk,1861,770,126,23
1,SNOVA-24-5-4-s-esk,1814,715,125,23
1,SNOVA-37-17-2,1787,768,127,23
1,SNOVA-25-8-3,1889,772,127,23
3,SNOVA-56-25-2,1807,766,127,22
3,SNOVA-49-11-3,1989,798,128,22
3,SNOVA-37-8-4,2077,806,128,23
3,SNOVA-24-5-5,1609,708,125,21
5,SNOVA-60-10-4,1013,573,117,21
5,SNOVA-29-6-5,1360,677,124,21
