cat,sig,0ms,2ms,20ms,120ms
0,ED-25519,17.82,3.19,1.26,1.00
0,ED-448,13.66,3.12,1.27,1.05
0,RSA,15.23,3.15,1.25,1.05
1,CROSS-RSDP-1-b,3.65,2.12,1.20,0.95
1,CROSS-RSDP-1-f,3.95,2.18,1.18,0.95
1,CROSS-RSDP-1-s,2.87,1.91,1.17,0.95
1,CROSS-RSDPG-1-b,3.29,2.02,1.16,0.95
1,CROSS-RSDPG-1-f,4.45,2.29,1.20,1.00
1,CROSS-RSDPG-1-s,2.73,1.85,1.18,0.95
1,Falcon-512,4.04,2.23,1.21,1.05
1,MAYO-1,3.97,2.19,1.20,1.00
1,OV-Ip,1.72,0.34,0.14,0.14
1,OV-Ip-pkc,3.53,1.32,0.60,0.50
1,OV-Ip-pkc-skc,3.55,1.33,0.59,0.50
1,OV-Is,1.33,0.24,0.09,0.09
1,OV-Is-pkc,2.60,1.10,0.50,0.41
1,OV-Is-pkc-skc,2.50,1.09,0.48,0.41
1,SNOVA-24-5-4,3.77,2.13,1.14,1.00
1,SNOVA-24-5-4-esk,3.79,2.16,1.19,1.05
1,SNOVA-24-5-4-s,3.69,2.14,1.19,1.05
1,SNOVA-24-5-4-s-esk,3.69,2.01,1.18,1.05
1,SNOVA-25-8-3,3.85,2.17,1.20,1.05
1,SNOVA-37-17-2,3.64,2.16,1.20,1.05
1,SPHINCS-128-f-s,1.00,1.00,1.00,1.00
1,SPHINCS-128-s-s,0.08,0.10,0.26,0.64
2,MAYO-2,4.88,2.42,1.20,1.00
2,ML-DSA-44,13.51,3.03,1.25,1.05
3,CROSS-RSDP-3-b,3.53,2.27,1.38,1.27
3,CROSS-RSDP-3-f,3.28,1.58,1.00,1.09
3,CROSS-RSDP-3-s,3.01,2.08,1.34,1.36
3,CROSS-RSDPG-3-b,4.55,2.35,1.39,1.36
3,CROSS-RSDPG-3-f,4.84,2.38,1.38,1.36
3,CROSS-RSDPG-3-s,3.69,2.30,1.94,2.09
3,MAYO-3,5.65,2.79,1.98,2.09
3,ML-DSA-65,12.94,3.52,2.02,1.91
3,OV-III,0.69,0.10,0.06,0.09
3,OV-III-pkc,2.18,0.57,0.33,0.36
3,OV-III-pkc-skc,1.74,0.59,0.34,0.36
3,SNOVA-24-5-5,4.16,2.40,1.95,1.91
3,SNOVA-37-8-4,5.37,2.73,2.00,2.09
3,SNOVA-49-11-3,5.14,2.71,2.00,2.00
3,SNOVA-56-25-2,4.67,2.60,1.98,2.00
3,SPHINCS-192-f-s,1.00,1.00,1.00,1.00
3,SPHINCS-192-s-s,0.06,0.07,0.31,1.00
5,CROSS-RSDP-5-b,5.55,2.52,1.04,1.00
5,CROSS-RSDP-5-s,4.20,2.24,1.04,1.00
5,CROSS-RSDPG-5-b,7.85,3.34,1.32,1.22
5,CROSS-RSDPG-5-f,8.24,2.73,1.08,1.00
5,CROSS-RSDPG-5-s,6.12,3.09,1.30,1.22
5,Falcon-1024,9.49,4.76,2.52,2.56
5,MAYO-5,10.04,4.75,2.56,2.56
5,ML-DSA-87,22.65,5.77,2.62,2.44
5,OV-V,0.64,0.09,0.04,0.11
5,OV-V-pkc,2.47,0.47,0.18,0.22
5,OV-V-pkc-skc,2.68,0.47,0.20,0.22
5,SNOVA-29-6-5,7.20,4.20,2.48,2.33
5,SNOVA-60-10-4,5.36,3.56,2.34,2.33
5,SPHINCS-256-f-s,1.00,1.00,1.00,1.00
5,SPHINCS-256-s-s,0.13,0.15,0.40,1.33
