cat,sig,0ms,2ms,20ms,120ms
0,ED-25519,6768,1016,126,23
0,ED-448,3101,871,128,22
0,RSA,2016,759,124,21
2,ML-DSA-44,4292,994,129,23
3,ML-DSA-65,3436,911,126,22
5,ML-DSA-87,2693,848,128,21
1,Falcon-512,1684,718,118,23
5,Falcon-1024,1556,742,122,22
1,SPHINCS-128-f-s,136,122,68,19
1,SPHINCS-128-s-s,9,8,8,6
3,SPHINCS-192-f-s,96,87,57,15
3,SPHINCS-192-s-s,5,5,5,4
5,SPHINCS-256-f-s,43,46,32,11
5,SPHINCS-256-s-s,6,6,5,5
1,MAYO-1,1624,708,119,21
2,MAYO-2,2030,765,122,23
3,MAYO-3,1534,674,120,22
5,MAYO-5,1173,639,119,22
1,CROSS-RSDP-1-b,1254,636,117,22
1,CROSS-RSDP-1-f,1508,664,120,23
1,CROSS-RSDP-1-s,968,555,114,22
3,CROSS-RSDP-3-b,921,538,84,15
3,CROSS-RSDP-3-f,887,468,62,11
3,CROSS-RSDP-3-s,682,461,83,14
5,CROSS-RSDP-5-b,580,359,57,11
5,CROSS-RSDP-5-s,426,299,62,11
1,CROSS-RSDPG-1-b,1008,549,114,22
1,CROSS-RSDPG-1-f,1560,699,121,22
1,CROSS-RSDPG-1-s,701,448,108,21
3,CROSS-RSDPG-3-b,1080,600,85,15
3,CROSS-RSDPG-3-f,1291,656,84,15
3,CROSS-RSDPG-3-s,800,502,107,22
5,CROSS-RSDPG-5-b,870,440,78,14
5,CROSS-RSDPG-5-f,977,441,64,11
5,CROSS-RSDPG-5-s,618,363,73,15
1,OV-Is,606,130,17,3
1,OV-Ip,739,190,27,5
3,OV-III,251,51,7,2
5,OV-V,105,23,3,1
1,OV-Is-pkc,1141,420,62,11
1,OV-Ip-pkc,1631,569,82,14
3,OV-III-pkc,715,219,33,6
5,OV-V-pkc,432,118,17,3
1,OV-Is-pkc-skc,996,433,64,12
1,OV-Ip-pkc-skc,1609,557,83,15
3,OV-III-pkc-skc,506,220,33,6
5,OV-V-pkc-skc,347,123,17,3
1,SNOVA-24-5-4,1315,596,113,21
1,SNOVA-24-5-4-s,1259,633,117,21
1,SNOVA-24-5-4-esk,1359,598,116,23
1,SNOVA-24-5-4-s-esk,1305,626,118,22
1,SNOVA-37-17-2,1308,628,118,22
1,SNOVA-25-8-3,1485,631,117,23
3,SNOVA-56-25-2,1101,601,115,22
3,SNOVA-49-11-3,1239,605,112,22
3,SNOVA-37-8-4,1165,626,117,22
3,SNOVA-24-5-5,894,497,112,22
5,SNOVA-60-10-4,396,299,93,21
5,SNOVA-29-6-5,717,423,109,21
