cat,sig,0ms,2ms,20ms,120ms
0,ED-25519,49.76,8.33,1.85,1.21
0,ED-448,22.80,7.14,1.88,1.16
0,RSA,14.82,6.22,1.82,1.11
1,CROSS-RSDP-1-b,9.22,5.21,1.72,1.16
1,CROSS-RSDP-1-f,11.09,5.44,1.76,1.21
1,CROSS-RSDP-1-s,7.12,4.55,1.68,1.16
1,CROSS-RSDPG-1-b,7.41,4.50,1.68,1.16
1,CROSS-RSDPG-1-f,11.47,5.73,1.78,1.16
1,CROSS-RSDPG-1-s,5.15,3.67,1.59,1.11
1,Falcon-512,12.38,5.89,1.74,1.21
1,MAYO-1,11.94,5.80,1.75,1.11
1,OV-Ip,5.43,1.56,0.40,0.26
1,OV-Ip-pkc,11.99,4.66,1.21,0.74
1,OV-Ip-pkc-skc,11.83,4.57,1.22,0.79
1,OV-Is,4.46,1.07,0.25,0.16
1,OV-Is-pkc,8.39,3.44,0.91,0.58
1,OV-Is-pkc-skc,7.32,3.55,0.94,0.63
1,SNOVA-24-5-4,9.67,4.89,1.66,1.11
1,SNOVA-24-5-4-esk,9.99,4.90,1.71,1.21
1,SNOVA-24-5-4-s,9.26,5.19,1.72,1.11
1,SNOVA-24-5-4-s-esk,9.60,5.13,1.74,1.16
1,SNOVA-25-8-3,10.92,5.17,1.72,1.21
1,SNOVA-37-17-2,9.62,5.15,1.74,1.16
1,SPHINCS-128-f-s,1.00,1.00,1.00,1.00
1,SPHINCS-128-s-s,0.07,0.07,0.12,0.32
2,MAYO-2,14.93,6.27,1.79,1.21
2,ML-DSA-44,31.56,8.15,1.90,1.21
3,CROSS-RSDP-3-b,9.59,6.18,1.47,1.00
3,CROSS-RSDP-3-f,9.24,5.38,1.09,0.73
3,CROSS-RSDP-3-s,7.10,5.30,1.46,0.93
3,CROSS-RSDPG-3-b,11.25,6.90,1.49,1.00
3,CROSS-RSDPG-3-f,13.45,7.54,1.47,1.00
3,CROSS-RSDPG-3-s,8.33,5.77,1.88,1.47
3,MAYO-3,15.98,7.75,2.11,1.47
3,ML-DSA-65,35.79,10.47,2.21,1.47
3,OV-III,2.61,0.59,0.12,0.13
3,OV-III-pkc,7.45,2.52,0.58,0.40
3,OV-III-pkc-skc,5.27,2.53,0.58,0.40
3,SNOVA-24-5-5,9.31,5.71,1.96,1.47
3,SNOVA-37-8-4,12.14,7.20,2.05,1.47
3,SNOVA-49-11-3,12.91,6.95,1.96,1.47
3,SNOVA-56-25-2,11.47,6.91,2.02,1.47
3,SPHINCS-192-f-s,1.00,1.00,1.00,1.00
3,SPHINCS-192-s-s,0.05,0.06,0.09,0.27
5,CROSS-RSDP-5-b,13.49,7.80,1.78,1.00
5,CROSS-RSDP-5-s,9.91,6.50,1.94,1.00
5,CROSS-RSDPG-5-b,20.23,9.57,2.44,1.27
5,CROSS-RSDPG-5-f,22.72,9.59,2.00,1.00
5,CROSS-RSDPG-5-s,14.37,7.89,2.28,1.36
5,Falcon-1024,36.19,16.13,3.81,2.00
5,MAYO-5,27.28,13.89,3.72,2.00
5,ML-DSA-87,62.63,18.43,4.00,1.91
5,OV-V,2.44,0.50,0.09,0.09
5,OV-V-pkc,10.05,2.57,0.53,0.27
5,OV-V-pkc-skc,8.07,2.67,0.53,0.27
5,SNOVA-29-6-5,16.67,9.20,3.41,1.91
5,SNOVA-60-10-4,9.21,6.50,2.91,1.91
5,SPHINCS-256-f-s,1.00,1.00,1.00,1.00
5,SPHINCS-256-s-s,0.14,0.13,0.16,0.45
